,prod_id,images,string
0,5fd0dd3a416a2d7e87b2e646,"['b63e8fa67979f84e6b1bblob', '64d735550c5347b1e9bdblob', '2c8f208da57697e8b26ablob', 'ae1735e508bac83cfeccblob', 'c686c0aa83a80ed2352fblob', '479abdcae3d6761237c8blob', '96342bb326eab5694ee2blob', 'f1b67c9248aab31b6c9cblob', '3d9107690b43036aa428blob', None, None, None]","womenlevi strauss & co women mid length denim shorts 29
category: women
levi strauss & co women mid length denim shorts 29"
1,5fd0de57416a2d7e87b2e64a,"['24baadd0cb2114b0222bblob', '6d35741a92f60c779699blob', '8ee8106e19b77c1b27e5blob', '4a6b14d77b644c25e172blob', '99e48518c9e396be081ablob', 'ad5dcc85de91ebdaa191blob', '8ee71cca595ca1fcd11eblob', '4c46c93a084dcf8a6e99blob', '6c058b0cee4bd5b93c2ablob', '22df2bcba5e68d89ee4cblob', 'ee3cc9171f3275d6805eblob', 'b7808f78e11d9c359a18blob']","womenlevi strauss & co high rise button jean shorts 30
category: women
levi strauss & co high rise button jean shorts 30"
2,5fd0df6e416a2d7e87b2e65b,"['c8faf7fc34e47b950955blob', 'ce332bfbbc026c5233e5blob', '73ca519e9d39b4c9865eblob', 'abba654970f81edfc122blob', 'a6cdf0f43cc30b686fceblob', '2939b1005576a89f423eblob', '21badf6abb61bcf3c951blob', '860254bf43efadb80613blob', None, None, None, None]","womenjoe's women rolled distressed denim jean shorts 26
category: women
joe's women rolled distressed denim jean shorts 26"
3,5fd0e05f416a2d7e87b2e65d,"['bdc72fb336a0750beff6blob', 'c9a47c78bf28d0555dc0blob', '1a3f0e1398f7bb50be7bblob', '6a8aa6b031effccf9e5dblob', '8f8a56577bd7d123f38dblob', '7b3f8eb0b6a3d4720317blob', '04c0960623f3c9ba4ea8blob', '46f778cf25ac11289268blob', '7c527c5d371ad43143a8blob', '20b81be05c956ec8173ablob', 'e296b97608df271775ffblob', '7d63990f518eeee17c4bblob']","womenmiss me sailor mid rise button denim blue shorts26
category: women
miss me sailor mid rise button denim blue shorts26"
4,5fd0e13b416a2d7e87b2e665,"['8ee989f2132350e39ee6blob', '411cccd288a166596241blob', '6e286d59892cea4bbc7fblob', 'ebeb52df9186a925610cblob', '0bc82cf8e858a939974eblob', 'd70f8badebe73a962d6fblob', '954276744b1672dd90e0blob', '351916cd624c4b1e7a73blob', 'e3834aff6069285e9bf0blob', 'f6cc489f53217743ed3fblob', None, None]","womensilver jeans co frayed mid rise denim shorts sz 30
category: women
silver jeans co frayed mid rise denim shorts sz 30"
5,5fd0e28f416a2d7e87b2e66e,"['fdb3aedf0dc3465c5c51blob', 'dbb688c59c8d7a7ac161blob', '04159d7576429fa9573ablob', '26eedb3e04eb43665d53blob', '2505f690dab6a62f7304blob', 'd597278e6b60924e51adblob', '110b97865204853c365ablob', '8d9d08ce893eee6dc1b6blob', 'c5b6712a101c585279fbblob', '467df6b5dd71098bd35cblob', 'ba70743253e578d4823ablob', '09bf5d9ae92a9a88df93blob']","womensilver jeans co mid rise boyfriend denim shorts 30
category: women
silver jeans co mid rise boyfriend denim shorts 30"
6,5fd0e878416a2d7e87b2e6b4,"['80d744ed562c98528cd7blob', '49aef4a110baec9b9e30blob', '2b5fd2aa3186965a6ed3blob', 'fce51d47e58365495badblob', '4e85a825b49e1c952f17blob', 'b33d6725c6d18657bacdblob', 'c2a1f5444e87472ff073blob', '06f8e257fdbbcf4d66c6blob', '285b23ea1036d8ff0fefblob', 'afcec128d75e4abe5847blob', 'd66bc6dc542c0cbb1f4bblob', None]","womenlevi strauss & co denim mid length jean shorts 30
category: women
levi strauss & co denim mid length jean shorts 30"
7,5fd161f9416a2d7e87b2e973,"['1b781894b936de39ed8ablob', '4f37782dbd451c1c9b4fblob', 'd055c9043257c45941e8blob', '7471d423c4664e7dab93blob', 'bfd598a7e5d33ce26597blob', '4db881e7698299788fdbblob', 'b7d4e65282fc7eca2119blob', None, None, None, None, None]","womennike womens blue dri fit volleyball shorts large
category: women
nike womens blue dri fit volleyball shorts large"
8,5f64ea9b2cbab809a5749fcf,"['2a603ad3f0f7e1070204blob', 'f3039e82b12c62f2b513blob', '829b7ebdf9b03f5f8161blob', 'a954032393cf272d3878blob', '90648b5106231a9a14d6blob', 'ef1884b2084f98266c35blob', '594a5fe1dded3849b96dblob', 'f9c55578fd0ed9608894blob', '09a2a296dcbbe245d58eblob', 'e36e2e5660cfce371d46blob', 'f8c73a1ef32486bebf6cblob', '3d1b9cdafe9f8d5766a2blob']","ava & viv womens blue super stretch medium wash midi denim shorts sz 26 w
ava & viv womens blue super stretch medium wash midi denim shorts sz 26 w"
9,5f89be20a6d55065aba2ee1f,"['a6d28cf7e3fbf584fd7fblob', '0dab8c7b12256134545dblob', 'c7d80de94ecf92979269blob', '109e25b5204ec49518e4blob', '8da03845116b6a570c78blob', '203d37bb9876e147a950blob', '069388661c7ba86091a5blob', None, None, None, None, None]","j crew womens orange blue cotton stripped regular shorts size 12
j crew womens orange blue cotton stripped regular shorts size 12"
10,5fc11eac4d20343219cd21ec,"['f7ab28042afe539eae42blob', '4e288dd5f7f784869986blob', 'c46526b378a634fb47dcblob', '9021a9c68a61717aec4bblob', 'f783bbb078c88187fdbablob', 'd12763c34efb1c984289blob', '8907e58a9f61e97abb36blob', 'c5d48b042bfac453ba79blob', 'cd5d62583c8d973b4d29blob', '9f0daa24e303ea6fd958blob', None, None]","the limited womens black beige polyester scoop neck sleeveless top medium
model: shorts
color: gray
the limited womens black beige polyester scoop neck sleeveless top medium"
11,5f7dbeb7fc80aa7a36f888a6,"['06ae87652c6e886d0f2cblob', '080ce65cb53a37377d75blob', '4026e9a20df6a473f386blob', 'bdd2701154e9476193f8blob', 'e6b709887ab74c3a2d65blob', '28caff1fdd6ca72068b6blob', '7623a20eb527587be504blob', 'b1086c862640db958212blob', None, None, None, None]","oxford golf womens blue light wash high rise cuffed stretch shorts size 8
oxford golf womens blue light wash high rise cuffed stretch shorts size 8"
12,5f7dc1f7fc80aa7a36f888b4,"['e7cc24ab101a98f888c2blob', '8cb5069eded807ee1237blob', 'b6ce7627b372c5811219blob', 'fb3aa475fb2dda7d012ablob', '8ec97efe02bd36ea4363blob', 'b8185b99bf4b4a5b6097blob', '032c328ee44ff8214f4eblob', '9c6a1bdf908a38f385ceblob', '19055a5d9103a0d9e9edblob', None, None, None]","talbots womens beige mid rise cargo shorts size 6
talbots womens beige mid rise cargo shorts size 6"
