,prod_id,images,string
0,5fd0dbc0416a2d7e87b2e63c,"['737a692db364511511f6blob', '6311ab796941001d3714blob', 'b5a9f252e0092b93b51eblob', '1034336c05c5491c0895blob', '9015b96d395327e6b726blob', 'fb394a7f7ba980c8c5dbblob', '0ac5b9582e2e9b91b7e1blob', 'b3c59f828dac4397e910blob', '4c0651655b421c27cf64blob', '7f8fefcdbd70490fe9e2blob', 'b4348fd8610c488e3f52blob', None]","womenlevi strauss & co. high-rise denim jean skirt sz 2
brand: levis
category: women
levi strauss & co. high-rise denim jean skirt sz 2"
1,5f5180005d6a264836616ee6,"['c5c50faefaac616cb7b6blob', '89886ff305d04735b4cbblob', 'e2dc6c864866f3755834blob', '0fa8cb099993be0c1f38blob', '46b0ce0a79a35e944c16blob', 'cf43de5d4196ac3dd976blob', '81e1e72224ccba4d1f73blob', '8203bf22b872f42653e1blob', 'e780533ebfe00908c1a3blob', None, None, None]","womenpga tour women  gray golf solid skirt 4 
brand: pga tour
model: 
category: women
color: gray
material: polyester
style: golf solid
pattern: skirt
size: 4
season/weather: all season
care: machine wash cold with like colors only non chlorine bleach tumble dry low remove promptly cool iron if needed do not dry clean
occasion: casual
rise: mid rise
closure: back zip
feature: comfort stretch expansible extensible
condition: pre owned



pga tour women  gray golf solid skirt 4 "
2,5f8cd8f8a6d55065aba2f194,"['3665d7a4c0867224e6e0blob', 'c2c36ac297135d4061a8blob', '121b6a7b7c2b624175d0blob', 'dec8bcbdf8c74d5e91acblob', '79f098e45247afc479fbblob', '72eab5e93d6dd9d6967eblob', 'ff851947a049e61a1154blob', None, None, None, None, None]","womenbrand: oppanol
model: tulle skirt
category: women
"
3,5fcfa2b00c97d96ea969d1fe,"['5c143991f5732fc0aa0bblob', '02466c9c77d405a16f5dblob', '26362e30f4e7dcec3e4eblob', '89cbf8b62e623b2e4f14blob', '9f105ea00abd0d12afaablob', '8c9d231592a3954aae10blob', 'c9a1e6dadb85f0d0b925blob', '487ebdaf55fcd44319a9blob', '5b65e1bc62fea8b2c0d4blob', None, None, None]","womentalbots womens striped above knee short skirt blue black size 16 plus
brand: talbots 
category: women
talbots womens striped above knee short skirt blue black size 16 plus"
4,5f5c1b2c2cbab809a57498a3,"['2021cefb109d1dc9befeblob', 'a5946cb5d95ed163d1cablob', '7667bfa6322a0e7f5e27blob', 'a908ce07b456885e5cf2blob', 'ee003f19452ac7bd0139blob', '39ba2c6c8eebe0b3e2bcblob', '8a0d0c8a85510d4ce98bblob', '0a518fcb9e4968192a01blob', None, None, None, None]","smartwool womens blue solid pencil knee length skirt size l
brand: 
model: 
category: 
color: 
material: 
style: 
pattern: 
size: 
season/weather: 
care: 








smartwool womens blue solid pencil knee length skirt size l"
5,5f89be5ea6d55065aba2ee21,"['badf44afb48f45c37d94blob', 'e295b716da4b8c9fbd23blob', 'b4deb7a9513d3fcded5fblob', '24fc37395a9446b72a60blob', '44d8d9387dc78c5d387bblob', '2a254ae8a06a233a50d8blob', '097c25e7912430f3df7eblob', 'fc2ef92e4156beff8919blob', '9c3dc5ce80a11e9840cfblob', '6755b953d05442448d09blob', None, None]","wild fable womens hot pink corduroy zip front mini skirt large
wild fable womens hot pink corduroy zip front mini skirt large"
6,5f7dc439fc80aa7a36f888c6,"['8588bc80d4dbdb474560blob', '728f51478ccdb1bc8a3cblob', '75b8ed0e5b04a3e6bb53blob', 'ef78e5009c91bee9299dblob', '7e7a61bee96e19e94750blob', 'cd517f139e6c99d237ccblob', '5b7b2e3fbd3af9817ed4blob', 'eac895cc38c920885a80blob', '6192aa218e629a80d498blob', 'a612c2dc18e8cc71dc51blob', None, None]","womennine west womens blue dark wash knee length career pencil skirt size 14
brand: nine west
category: women
nine west womens blue dark wash knee length career pencil skirt size 14"
7,5f7dd58efc80aa7a36f88917,"['37d1d6dd9a80d2cb46bablob', 'e7e0eafc0c899743c65bblob', 'a4e84d8562194f38e165blob', '55820ffea1c41d1e8838blob', 'fc7e9ca3c75a490f3f8cblob', '8db898185c6a5cd486b8blob', '53c9a03c5e9cd013f691blob', '49af8defce9f803e1791blob', 'a20b48ef1bc3cf5c6917blob', '4e66746d95cea5206539blob', None, None]","lularoe womens pink purple floral knee length cassie pencil skirt size 2xl 
lularoe womens pink purple floral knee length cassie pencil skirt size 2xl "
8,5f7dd9eafc80aa7a36f8893b,"['5bcb3f588e732baeb725blob', 'f2219590a35262794640blob', '5af2aaa84a087b9a7893blob', 'cd1e7a727f64130acb2fblob', 'e1bc17d6d20ce940a3f7blob', '4b04ab90c08258013286blob', 'e1c45086e70fa5da43f5blob', '4d4c610d22473da77132blob', 'e1350fa30aafdd24529bblob', None, None, None]","loft womens green pockets designer belted casual mini skirt size 14 
loft womens green pockets designer belted casual mini skirt size 14 "
9,5f7df438fc80aa7a36f88a30,"['c280fa060bbafb9dd9e2blob', '5eab4206ff42c93f6acdblob', '4918174e0d0c83a6c348blob', '4888ed9b5d5aa5c57f49blob', '44da0b0da0149cf892ceblob', '6f54480e8aa3cea4f75eblob', '956ee2f98019b83b8471blob', 'e8c4fae483fa843cbbf2blob', 'a4ca0c16fd7e8746254bblob', None, None, None]","gap 10 womens orange casual mini skirt size 12
gap 10 womens orange casual mini skirt size 12"
